benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
dijkstra,58392356144,15689676627818,15748068983962,18879353621.000,18879.353621,41.002,41.00,41.00,45.00,50.00,337.365479,337365.479,,,337.365479,337365.479
dijkstra,58334252368,15748228809324,15806563061692,18860705780.000,18860.705780,51.290,41.00,42.00,45.00,50.00,337.006882,337006.882,,,337.006882,337006.882
dijkstra,58460582012,15806690333158,15865150915170,18901542368.000,18901.542368,40.883,41.00,42.00,45.00,51.00,337.756409,337756.409,,,337.756409,337756.409
dijkstra,58551814104,15865279190234,15923831004338,18930965131.000,18930.965131,41.085,42.00,41.00,45.00,50.00,338.294800,338294.800,,,338.294800,338294.800
dijkstra,58302409400,15923958565570,15982260974970,18850231967.000,18850.231967,40.943,42.00,41.00,45.00,49.00,336.635498,336635.498,,,336.635498,336635.498
dijkstra,58573310940,15982356867986,16040930178926,18937989310.000,18937.989310,30.794,42.00,42.00,45.00,49.00,337.977737,337977.737,,,337.977737,337977.737
dijkstra,58302149384,16041058194162,16099360343546,18850153349.000,18850.153349,41.011,41.00,41.00,45.00,50.00,336.626312,336626.312,,,336.626312,336626.312
dijkstra,58809921176,16099487712214,16158297633390,19014359109.000,19014.359109,40.994,42.00,42.00,45.00,50.00,339.101212,339101.212,,,339.101212,339101.212
dijkstra,58343093368,16158425530218,16216768623586,18863567787.000,18863.567787,40.964,42.00,42.00,45.00,49.00,336.963135,336963.135,,,336.963135,336963.135
dijkstra,58685431524,16216896264746,16275581696270,18974057332.000,18974.057332,41.021,42.00,42.00,45.00,50.00,338.551331,338551.331,,,338.551331,338551.331
dijkstra,58538096132,16275709126938,16334247223070,18926580386.000,18926.580386,41.005,41.00,42.00,45.00,50.00,338.105469,338105.469,,,338.105469,338105.469
dijkstra,58332222836,16334406865574,16392739088410,18860041117.000,18860.041117,51.234,42.00,42.00,45.00,50.00,337.065964,337065.964,,,337.065964,337065.964
