benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
fdct,442594400,4511180411712,4511623006112,143158878.000,143.158878,0.009,45.00,44.00,45.00,44.00,2.379517,2379.517,1.877258,1877.258,0.037460,37.460,,,2.379517,2379.517
fdct,442559140,4511623337432,4512065896572,143146277.000,143.146277,0.009,44.00,45.00,44.00,45.00,2.377808,2377.808,1.875076,1875.076,0.037537,37.537,,,2.377808,2377.808
fdct,442598444,4512066233496,4512508831940,143163719.000,143.163719,0.009,45.00,44.00,45.00,44.00,2.367523,2367.523,1.865067,1865.067,0.037582,37.582,,,2.367523,2367.523
fdct,442649656,4512509190268,4512951839924,143175967.000,143.175967,0.010,44.00,44.00,44.00,44.00,2.368088,2368.088,1.865463,1865.463,0.037567,37.567,,,2.368088,2368.088
fdct,442673876,4512952167752,4513394841628,143184290.000,143.184290,0.009,44.00,44.00,44.00,44.00,2.367432,2367.432,1.865265,1865.265,0.037506,37.506,,,2.367432,2367.432
fdct,442556008,4513395169828,4513837725836,143144933.000,143.144933,0.009,44.00,44.00,44.00,44.00,2.350128,2350.128,1.851456,1851.456,0.037201,37.201,,,2.350128,2350.128
fdct,442502860,4513838048588,4514280551448,143127071.000,143.127071,0.009,44.00,44.00,44.00,44.00,2.349136,2349.136,1.850754,1850.754,0.037292,37.292,,,2.349136,2349.136
fdct,442582704,4514280885412,4514723468116,143155115.000,143.155115,0.013,44.00,45.00,44.00,45.00,2.364136,2364.136,1.862167,1862.167,0.037506,37.506,,,2.364136,2364.136
fdct,442598596,4514723799980,4515166398576,143158329.000,143.158329,0.009,45.00,44.00,45.00,44.00,2.365158,2365.158,1.863144,1863.144,0.037552,37.552,,,2.365158,2365.158
fdct,442631604,4515166726824,4515609358428,143169632.000,143.169632,0.009,44.00,45.00,44.00,45.00,2.369217,2369.217,1.867462,1867.462,0.037582,37.582,,,2.369217,2369.217
fdct,442611080,4515609686588,4516052297668,143163242.000,143.163242,0.009,45.00,44.00,45.00,44.00,2.363922,2363.922,1.862030,1862.030,0.037552,37.552,,,2.363922,2363.922
fdct,442705920,4516052626572,4516495332492,143197672.000,143.197672,0.009,44.00,44.00,44.00,44.00,2.363800,2363.800,1.862213,1862.213,0.037506,37.506,,,2.363800,2363.800
fdct,442652528,4516495674976,4516938327504,143177403.000,143.177403,0.009,44.00,44.00,44.00,44.00,2.372925,2372.925,1.869629,1869.629,0.037521,37.521,,,2.372925,2372.925
fdct,442552932,4516938659296,4517381212228,143143029.000,143.143029,0.009,44.00,45.00,44.00,45.00,2.364883,2364.883,1.862839,1862.839,0.037521,37.521,,,2.364883,2364.883
fdct,442609644,4517381536908,4517824146552,143162967.000,143.162967,0.009,45.00,44.00,45.00,44.00,2.353317,2353.317,1.854874,1854.874,0.037247,37.247,,,2.353317,2353.317
fdct,442484656,4517824477480,4518266962136,143122588.000,143.122588,0.009,44.00,44.00,44.00,44.00,2.368210,2368.210,1.866394,1866.394,0.037582,37.582,,,2.368210,2368.210
fdct,442556516,4518267293388,4518709849904,143149648.000,143.149648,0.009,44.00,44.00,44.00,44.00,2.368118,2368.118,1.866074,1866.074,0.037552,37.552,,,2.368118,2368.118
fdct,442753984,4518710193992,4519152947976,143212451.000,143.212451,0.009,44.00,44.00,44.00,44.00,2.366470,2366.470,1.864471,1864.471,0.037476,37.476,,,2.366470,2366.470
fdct,442682916,4519153292272,4519595975188,143188052.000,143.188052,0.009,44.00,44.00,44.00,44.00,2.369720,2369.720,1.867096,1867.096,0.037567,37.567,,,2.369720,2369.720
fdct,442596640,4519596311524,4520038908164,143158930.000,143.158930,0.009,44.00,45.00,44.00,45.00,2.370361,2370.361,1.867920,1867.920,0.037521,37.521,,,2.370361,2370.361
fdct,442542000,4520039238908,4520481780908,143140269.000,143.140269,0.009,45.00,45.00,45.00,45.00,2.366669,2366.669,1.864944,1864.944,0.037552,37.552,,,2.366669,2366.669
fdct,442656652,4520482106980,4520924763632,143178447.000,143.178447,0.009,45.00,45.00,45.00,45.00,2.369507,2369.507,1.867447,1867.447,0.037613,37.613,,,2.369507,2369.507
fdct,442663116,4520925097596,4521367760712,143179644.000,143.179644,0.009,45.00,44.00,45.00,44.00,2.352020,2352.020,1.853790,1853.790,0.037262,37.262,,,2.352020,2352.020
fdct,442671548,4521368089352,4521810760900,143183424.000,143.183424,0.009,44.00,44.00,44.00,44.00,2.350052,2350.052,1.851654,1851.654,0.037292,37.292,,,2.350052,2350.052
fdct,442549604,4521811118336,4522253667940,143143339.000,143.143339,0.010,44.00,45.00,44.00,45.00,2.352478,2352.478,1.854370,1854.370,0.037308,37.308,,,2.352478,2352.478
fdct,442652468,4522253998328,4522696650796,143181079.000,143.181079,0.009,45.00,44.00,45.00,44.00,2.369278,2369.278,1.867416,1867.416,0.037537,37.537,,,2.369278,2369.278
fdct,442650648,4522696998308,4523139648956,143177322.000,143.177322,0.010,44.00,44.00,44.00,44.00,2.371323,2371.323,1.868912,1868.912,0.037567,37.567,,,2.371323,2371.323
fdct,442494160,4523139984172,4523582478332,143125267.000,143.125267,0.009,44.00,45.00,44.00,45.00,2.365982,2365.982,1.864456,1864.456,0.037613,37.613,,,2.365982,2365.982
fdct,442687204,4523582806192,4524025493396,143188635.000,143.188635,0.009,45.00,45.00,45.00,45.00,2.375839,2375.839,1.873596,1873.596,0.037582,37.582,,,2.375839,2375.839
fdct,442618744,4524025827352,4524468446096,143166683.000,143.166683,0.009,45.00,45.00,45.00,45.00,2.379639,2379.639,1.877396,1877.396,0.037521,37.521,,,2.379639,2379.639
fdct,442576616,4524468780796,4524911357412,143153037.000,143.153037,0.009,45.00,44.00,45.00,44.00,2.368393,2368.393,1.866714,1866.714,0.037521,37.521,,,2.368393,2368.393
fdct,442628600,4524911692172,4525354320772,143169609.000,143.169609,0.009,44.00,45.00,44.00,45.00,2.355927,2355.927,1.857040,1857.040,0.037308,37.308,,,2.355927,2355.927
fdct,442604572,4525354651696,4525797256268,143162340.000,143.162340,0.009,45.00,45.00,45.00,45.00,2.352280,2352.280,1.853607,1853.607,0.037216,37.216,,,2.352280,2352.280
fdct,442605212,4525797591088,4526240196300,143161393.000,143.161393,0.009,45.00,45.00,45.00,45.00,2.365692,2365.692,1.863678,1863.678,0.037552,37.552,,,2.365692,2365.692
fdct,442554492,4526240524968,4526683079460,143144280.000,143.144280,0.009,45.00,44.00,45.00,44.00,2.367004,2367.004,1.864548,1864.548,0.037537,37.537,,,2.367004,2367.004
fdct,442582988,4526683406968,4527125989956,143155090.000,143.155090,0.009,44.00,45.00,44.00,45.00,2.366501,2366.501,1.864319,1864.319,0.037567,37.567,,,2.366501,2366.501
fdct,442565296,4527126323224,4527568888520,143148037.000,143.148037,0.009,45.00,45.00,45.00,45.00,2.367050,2367.050,1.865494,1865.494,0.037613,37.613,,,2.367050,2367.050
fdct,442615804,4527569217404,4528011833208,143164676.000,143.164676,0.009,45.00,44.00,45.00,44.00,2.369278,2369.278,1.867722,1867.722,0.037552,37.552,,,2.369278,2369.278
fdct,442584560,4528012162552,4528454747112,143155225.000,143.155225,0.009,45.00,44.00,45.00,44.00,2.367859,2367.859,1.866196,1866.196,0.037643,37.643,,,2.367859,2367.859
fdct,442713356,4528455078660,4528897792016,143197622.000,143.197622,0.009,44.00,45.00,44.00,45.00,2.363937,2363.937,1.862549,1862.549,0.037613,37.613,,,2.363937,2363.937
fdct,442626112,4528898125336,4529340751448,143168447.000,143.168447,0.009,45.00,45.00,45.00,45.00,2.351562,2351.562,1.853958,1853.958,0.037292,37.292,,,2.351562,2351.562
fdct,442592204,4529341082772,4529783674976,143157962.000,143.157962,0.009,45.00,44.00,45.00,44.00,2.357010,2357.010,1.857681,1857.681,0.037231,37.231,,,2.357010,2357.010
fdct,442630776,4529784006540,4530226637316,143168947.000,143.168947,0.009,44.00,44.00,44.00,44.00,2.370926,2370.926,1.869110,1869.110,0.037582,37.582,,,2.370926,2370.926
fdct,442546676,4530226965884,4530669512560,143142373.000,143.142373,0.009,44.00,44.00,44.00,44.00,2.365677,2365.677,1.864014,1864.014,0.037537,37.537,,,2.365677,2365.677
fdct,442570128,4530669843744,4531112413872,143149596.000,143.149596,0.009,44.00,45.00,44.00,45.00,2.366928,2366.928,1.864624,1864.624,0.037491,37.491,,,2.366928,2366.928
fdct,442618896,4531112778692,4531555397588,143170769.000,143.170769,0.010,45.00,44.00,45.00,44.00,2.365265,2365.265,1.863327,1863.327,0.037521,37.521,,,2.365265,2365.265
fdct,442673956,4531555730012,4531998403968,143185237.000,143.185237,0.009,44.00,44.00,44.00,44.00,2.366714,2366.714,1.864700,1864.700,0.037521,37.521,,,2.366714,2366.714
fir,429183724,4531998740184,4532427923908,138821727.000,138.821727,0.009,44.00,44.00,44.00,44.00,2.248413,2248.413,1.763794,1763.794,0.036194,36.194,,,2.248413,2248.413
fir,429166880,4532428245536,4532857412416,138816292.000,138.816292,0.009,44.00,44.00,44.00,44.00,2.264084,2264.084,1.775986,1775.986,0.036453,36.453,,,2.264084,2264.084
fir,429206444,4532857731552,4533286937996,138830171.000,138.830171,0.009,44.00,44.00,44.00,44.00,2.248978,2248.978,1.764282,1764.282,0.036224,36.224,,,2.248978,2248.978
